Student_ID,Subject,Current_Topic,Score,Skill_Level,Next_Recommended_Topic
383,OOP,Objects,13,beginner,Classes
384,OS,Processes,58,intermediate,Threads
385,AI/ML,Neural Networks,26,beginner,KNN
386,Java,Loops,24,beginner,Variables
387,OS,Scheduling,90,advanced,Deadlocks
388,AI/ML,Decision Trees,84,advanced,SVM
389,Data Structures,Queue,38,beginner,Stack
390,OS,Virtual Memory,75,advanced,Virtual Memory
391,Python,Functions,40,beginner,Loops
392,AI/ML,SVM,49,intermediate,KNN
393,Python,Loops,71,advanced,Functions
394,OOP,Encapsulation,68,intermediate,Abstraction
395,OS,Processes,47,intermediate,Threads
396,OOP,Interfaces,31,beginner,Abstraction
397,OS,Processes,20,beginner,Processes
398,AI/ML,Decision Trees,75,advanced,SVM
399,OS,Deadlocks,36,beginner,Scheduling
400,Java,Collections,31,beginner,OOP Concepts
401,Java,Collections,94,advanced,Exceptions
402,Java,Collections,26,beginner,OOP Concepts
403,AI/ML,SVM,44,intermediate,KNN
404,Java,Exceptions,55,intermediate,Streams
405,Data Structures,Linked List,66,intermediate,Stack
406,DSA,Linked List,95,advanced,Stacks
407,Java,Loops,50,intermediate,Methods
408,AI/ML,Clustering,29,beginner,Neural Networks
409,DSA,Stacks,32,beginner,Linked List
410,AI/ML,Neural Networks,10,beginner,KNN
411,Python,Modules,10,beginner,File Handling
412,DSA,Sorting Algorithms,3,beginner,Graphs
413,DSA,Graphs,93,advanced,Sorting Algorithms
414,AI/ML,Decision Trees,85,advanced,SVM
415,OOP,Abstraction,69,intermediate,Interfaces
416,Data Structures,Graph,82,advanced,Graph
417,Data Structures,Arrays,26,beginner,Arrays
418,OOP,Abstraction,37,beginner,Encapsulation
419,OOP,Objects,84,advanced,Inheritance
420,Data Structures,Stack,44,intermediate,Queue
421,AI/ML,Clustering,35,beginner,Neural Networks
422,OOP,Abstraction,40,beginner,Encapsulation
423,Data Structures,Arrays,3,beginner,Arrays
424,AI/ML,SVM,20,beginner,Decision Trees
425,DSA,Arrays,88,advanced,Linked List
426,OS,Deadlocks,35,beginner,Scheduling
427,Python,OOP Basics,52,intermediate,File Handling
428,OS,Scheduling,14,beginner,File Systems
429,OOP,Abstraction,39,beginner,Encapsulation
430,OOP,Abstraction,80,advanced,Interfaces
431,AI/ML,Linear Regression,23,beginner,Linear Regression
432,DSA,Sorting Algorithms,39,beginner,Graphs
433,Java,Variables,8,beginner,Variables
434,Python,Loops,21,beginner,Variables
435,OOP,Inheritance,76,advanced,Polymorphism
436,Java,Streams,94,advanced,Streams
437,OOP,Classes,41,intermediate,Objects
438,AI/ML,Linear Regression,7,beginner,Linear Regression
439,Data Structures,Arrays,2,beginner,Arrays
440,AI/ML,KNN,79,advanced,Neural Networks
441,DSA,Sorting Algorithms,89,advanced,Sorting Algorithms
442,Java,OOP Concepts,96,advanced,Collections
443,Java,Variables,83,advanced,Loops
444,Java,Loops,29,beginner,Variables
445,Data Structures,Arrays,55,intermediate,Linked List
446,OOP,Classes,46,intermediate,Objects
447,OS,File Systems,35,beginner,Memory Management
448,OS,Processes,20,beginner,Processes
449,OS,File Systems,22,beginner,Memory Management
450,Python,Variables,58,intermediate,Loops
451,OOP,Abstraction,99,advanced,Interfaces
452,Java,Methods,88,advanced,OOP Concepts
453,Data Structures,Hash Table,40,beginner,Queue
454,Python,Loops,59,intermediate,Functions
455,Data Structures,Queue,19,beginner,Stack
456,Python,Loops,17,beginner,Variables
457,AI/ML,Neural Networks,54,intermediate,Clustering
458,DSA,Sorting Algorithms,93,advanced,Sorting Algorithms
459,Java,Loops,32,beginner,Variables
460,DSA,Queues,38,beginner,Stacks
461,AI/ML,Linear Regression,39,beginner,Linear Regression
462,OOP,Classes,45,intermediate,Objects
463,Python,Variables,68,intermediate,Loops
464,Java,Loops,16,beginner,Variables
465,DSA,Queues,33,beginner,Stacks
466,AI/ML,Logistic Regression,8,beginner,Linear Regression
467,OS,Deadlocks,2,beginner,Scheduling
468,Java,Methods,68,intermediate,OOP Concepts
469,Python,File Handling,54,intermediate,Modules
470,Java,Streams,2,beginner,Exceptions
471,OS,Virtual Memory,72,advanced,Virtual Memory
472,OS,Virtual Memory,75,advanced,Virtual Memory
473,AI/ML,SVM,60,intermediate,KNN
474,DSA,Sorting Algorithms,43,intermediate,Sorting Algorithms
475,OOP,Encapsulation,37,beginner,Polymorphism
476,Java,OOP Concepts,43,intermediate,Collections
477,Java,Exceptions,31,beginner,Collections
478,Java,Exceptions,93,advanced,Streams
479,DSA,Sorting Algorithms,97,advanced,Sorting Algorithms
480,Python,Modules,69,intermediate,Error Handling
481,DSA,Arrays,22,beginner,Arrays
482,OOP,Interfaces,29,beginner,Abstraction
483,AI/ML,Decision Trees,65,intermediate,SVM
484,OOP,Polymorphism,55,intermediate,Encapsulation
485,AI/ML,Logistic Regression,17,beginner,Linear Regression
486,Java,Methods,30,beginner,Loops
487,DSA,Queues,29,beginner,Stacks
488,Java,Methods,16,beginner,Loops
489,OOP,Objects,47,intermediate,Inheritance
490,Python,Variables,74,advanced,Loops
491,AI/ML,Decision Trees,4,beginner,Logistic Regression
492,DSA,Queues,77,advanced,Trees
493,AI/ML,Logistic Regression,97,advanced,Decision Trees
494,DSA,Linked List,8,beginner,Arrays
495,OOP,Objects,60,intermediate,Inheritance
496,Python,File Handling,53,intermediate,Modules
497,Python,OOP Basics,41,intermediate,File Handling
498,OOP,Classes,27,beginner,Classes
499,Data Structures,Graph,25,beginner,Heap
500,OOP,Inheritance,7,beginner,Objects
501,DSA,Linked List,88,advanced,Stacks
502,Java,Collections,83,advanced,Exceptions
503,Java,Streams,7,beginner,Exceptions
504,Java,Exceptions,87,advanced,Streams
505,AI/ML,KNN,74,advanced,Neural Networks
506,AI/ML,Linear Regression,6,beginner,Linear Regression
507,Data Structures,Hash Table,66,intermediate,Heap
508,OOP,Encapsulation,17,beginner,Polymorphism
509,Data Structures,Graph,29,beginner,Heap
510,Java,Exceptions,73,advanced,Streams
511,DSA,Queues,91,advanced,Trees
512,Python,Error Handling,71,advanced,Error Handling
513,Python,Error Handling,83,advanced,Error Handling
514,OOP,Abstraction,6,beginner,Encapsulation
515,OS,Scheduling,88,advanced,Deadlocks
516,AI/ML,Logistic Regression,26,beginner,Linear Regression
517,Data Structures,Stack,26,beginner,Linked List
518,Data Structures,Queue,37,beginner,Stack
519,AI/ML,Decision Trees,74,advanced,SVM
520,Python,Functions,86,advanced,OOP Basics
521,OOP,Interfaces,64,intermediate,Interfaces
522,DSA,Trees,42,intermediate,Graphs
523,OOP,Abstraction,57,intermediate,Interfaces
524,DSA,Linked List,93,advanced,Stacks
525,Python,Modules,79,advanced,Error Handling
526,Java,Collections,17,beginner,OOP Concepts
527,OOP,Encapsulation,23,beginner,Polymorphism
528,AI/ML,Logistic Regression,24,beginner,Linear Regression
529,OS,Deadlocks,68,intermediate,Virtual Memory
530,Java,Methods,29,beginner,Loops
531,AI/ML,Linear Regression,61,intermediate,Logistic Regression
532,AI/ML,Linear Regression,56,intermediate,Logistic Regression
533,AI/ML,KNN,1,beginner,SVM
534,AI/ML,SVM,3,beginner,Decision Trees
535,Python,OOP Basics,27,beginner,Functions
536,AI/ML,Clustering,3,beginner,Neural Networks
537,OOP,Objects,60,intermediate,Inheritance
538,OS,Processes,69,intermediate,Threads
539,Java,Streams,97,advanced,Streams
540,OS,Processes,87,advanced,Threads
541,AI/ML,SVM,37,beginner,Decision Trees
542,DSA,Graphs,40,beginner,Trees
543,AI/ML,KNN,9,beginner,SVM
544,Data Structures,Heap,9,beginner,Hash Table
545,DSA,Graphs,80,advanced,Sorting Algorithms
546,DSA,Stacks,72,advanced,Queues
547,OOP,Polymorphism,98,advanced,Encapsulation
548,Java,Variables,96,advanced,Loops
549,OS,Memory Management,72,advanced,File Systems
550,Data Structures,Graph,20,beginner,Heap
551,Java,Variables,3,beginner,Variables
552,Data Structures,Linked List,51,intermediate,Stack
553,OOP,Inheritance,64,intermediate,Polymorphism
554,AI/ML,KNN,10,beginner,SVM
555,OS,File Systems,72,advanced,Scheduling
556,DSA,Graphs,52,intermediate,Sorting Algorithms
557,DSA,Linked List,85,advanced,Stacks
558,DSA,Trees,32,beginner,Queues
559,OOP,Objects,54,intermediate,Inheritance
560,Python,Variables,73,advanced,Loops
561,DSA,Arrays,91,advanced,Linked List
562,OOP,Classes,38,beginner,Classes
563,Java,Streams,81,advanced,Streams
564,AI/ML,Clustering,95,advanced,Clustering
565,Data Structures,Queue,42,intermediate,Hash Table
566,DSA,Queues,47,intermediate,Trees
567,DSA,Graphs,11,beginner,Trees
568,Python,File Handling,3,beginner,OOP Basics
569,OOP,Polymorphism,29,beginner,Inheritance
570,DSA,Sorting Algorithms,19,beginner,Graphs
571,Data Structures,Arrays,41,intermediate,Linked List
572,AI/ML,Decision Trees,96,advanced,SVM
573,Python,Error Handling,41,intermediate,Error Handling
574,AI/ML,SVM,56,intermediate,KNN
575,Data Structures,Stack,6,beginner,Linked List
576,DSA,Stacks,24,beginner,Linked List
577,AI/ML,Clustering,56,intermediate,Clustering
578,OS,Memory Management,68,intermediate,File Systems
579,OS,Threads,49,intermediate,Memory Management
580,Data Structures,Stack,58,intermediate,Queue
581,OS,Scheduling,87,advanced,Deadlocks
582,AI/ML,Neural Networks,36,beginner,KNN
583,AI/ML,Linear Regression,87,advanced,Logistic Regression
584,Java,Methods,36,beginner,Loops
585,Java,Collections,0,beginner,OOP Concepts
586,DSA,Graphs,6,beginner,Trees
587,AI/ML,Clustering,12,beginner,Neural Networks
588,OS,Virtual Memory,97,advanced,Virtual Memory
589,Data Structures,Arrays,61,intermediate,Linked List
590,OS,Deadlocks,14,beginner,Scheduling
591,Python,OOP Basics,14,beginner,Functions
592,Data Structures,Heap,91,advanced,Graph
593,Data Structures,Arrays,45,intermediate,Linked List
594,Java,Exceptions,94,advanced,Streams
595,Java,Exceptions,64,intermediate,Streams
596,Python,Modules,85,advanced,Error Handling
597,DSA,Queues,89,advanced,Trees
598,AI/ML,KNN,91,advanced,Neural Networks
599,OOP,Polymorphism,5,beginner,Inheritance
600,Data Structures,Linked List,100,advanced,Stack
